condition,label,analysis_family,k,min_units,grid_offset,weighting,terminal_policy,genre_filter,omitted_axis_group,status,status_reason,segment_index,segment_start,segment_end,is_boundary,objective,objective_scale,partition_similarity_to_primary,partition_starts_json,n_axes,n_cycles,n_paragraphs,n_speeches,terminal_cycle_complete,right_censored
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,1,1805.0,1848.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,11,4009,130,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,2,1849.0,1868.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,5,3082,88,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,3,1869.0,1900.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,8,4503,120,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,4,1901.0,1912.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,3,2531,36,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,5,1913.0,1928.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,4,1543,64,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,6,1929.0,1940.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,3,1179,53,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,7,1941.0,1952.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,3,862,44,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,8,1953.0,1980.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,7,6831,192,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,9,1981.0,2016.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,9,7058,207,False,False
k_11,11 segments,k_sweep,11,3,0,per_axis,include_incomplete,all,none,computed,,10,2017.0,2026.0,True,1598.986245352367,z_sse_per_axis,0.900761527185539,"[1789,1805,1849,1869,1901,1913,1929,1941,1953,1981,2017]",63,3,4120,82,False,True
k_12,12 segments,k_sweep,12,3,0,per_axis,include_incomplete,all,none,computed,,0,1789.0,1804.0,False,1534.5511185185564,z_sse_per_axis,0.7836900120768303,"[1789,1805,1829,1853,1869,1901,1913,1929,1941,1953,1981,2017]",63,4,511,41,False,False
k_12,12 segments,k_sweep,12,3,0,per_axis,include_incomplete,all,none,computed,,1,1805.0,1828.0,True,1534.5511185185564,z_sse_per_axis,0.7836900120768303,"[1789,1805,1829,1853,1869,1901,1913,1929,1941,1953,1981,2017]",63,6,1128,52,False,False
